Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[200] Application util under 95%: 00
[201] Application util under 95%: 00
[202] Application util under 95%: 00
[203] Application util under 95%: 00
[204] Application util under 95%: 00
[205] Application util under 95%: 00
[206] Application util under 95%: 00
[207] Application util under 95%: 00
[208] Application util under 95%: 00
[209] Application util under 95%: 00
[210] Application util under 95%: 00
[211] Application util under 95%: 00
[212] Application util under 95%: 00
[213] Application util under 95%: 00
[214] Application util under 95%: 00
[215] Application util under 95%: 00
[216] Application util under 95%: 00
[217] Application util under 95%: 00
[218] Application util under 95%: 00
[219] Application util under 95%: 00
[220] Application util under 95%: 00
[221] Application util under 95%: 00
[222] Application util under 95%: 00
[223] Application util under 95%: 00
[224] Application util under 95%: 00
[225] Application util under 95%: 00
[226] Application util under 95%: 00
[227] Application util under 95%: 00
[228] Application util under 95%: 00
[229] Application util under 95%: 00
[230] Application util under 95%: 00
[231] Application util under 95%: 00
[232] Application util under 95%: 00
[233] Application util under 95%: 00
[234] Application util under 95%: 00
[235] Application util under 95%: 00
[236] Application util under 95%: 00
[237] Application util under 95%: 00
[238] Application util under 95%: 00
[239] Application util under 95%: 00
[240] Application util under 95%: 00
[241] Application util under 95%: 00
[242] Application util under 95%: 00
[243] Application util under 95%: 00
[244] Application util under 95%: 00
[245] Application util under 95%: 00
[246] Application util under 95%: 00
[247] Application util under 95%: 00
[248] Application util under 95%: 00
[249] Application util under 95%: 00
[250] Application util under 95%: 00
[251] Application util under 95%: 00
[252] Application util under 95%: 00
[253] Application util under 95%: 00
[254] Application util under 95%: 00
[255] Application util under 95%: 00
[256] Application util under 95%: 00
[257] Application util under 95%: 00
[258] Application util under 95%: 00
[259] Application util under 95%: 00
[260] Application util under 95%: 00
[261] Application util under 95%: 00
[262] Application util under 95%: 00
[263] Application util under 95%: 00
[264] Application util under 95%: 00
[265] Application util under 95%: 00
[266] Application util under 95%: 00
[267] Application util under 95%: 00
[268] Application util under 95%: 00
[269] Application util under 95%: 00
[270] Application util under 95%: 00
[271] Application util under 95%: 00
[272] Application util under 95%: 00
[273] Application util under 95%: 00
[274] Application util under 95%: 00
[275] Application util under 95%: 00
[276] Application util under 95%: 00
[277] Application util under 95%: 00
[278] Application util under 95%: 00
[279] Application util under 95%: 00
[280] Application util under 95%: 00
[281] Application util under 95%: 00
[282] Application util under 95%: 00
[283] Application util under 95%: 00
[284] Application util under 95%: 00
[285] Application util under 95%: 00
[286] Application util under 95%: 00
[287] Application util under 95%: 00
[288] Application util under 95%: 00
[289] Application util under 95%: 00
[290] Application util under 95%: 00
[291] Application util under 95%: 00
[292] Application util under 95%: 00
[293] Application util under 95%: 00
[294] Application util under 95%: 00
[295] Application util under 95%: 00
[296] Application util under 95%: 00
[297] Application util under 95%: 00
[298] Application util under 95%: 00
[299] Application util under 95%: 00
[300] Application util under 95%: 00
[301] Application util under 95%: 00
[302] Application util under 95%: 00
[303] Application util under 95%: 00
[304] Application util under 95%: 00
[305] Application util under 95%: 00
[306] Application util under 95%: 00
[307] Application util under 95%: 00
[308] Application util under 95%: 00
[309] Application util under 95%: 00
[310] Application util under 95%: 00
[311] Application util under 95%: 00
[312] Application util under 95%: 00
[313] Application util under 95%: 00
[314] Application util under 95%: 00
[315] Application util under 95%: 00
[316] Application util under 95%: 00
[317] Application util under 95%: 00
[318] Application util under 95%: 00
[319] Application util under 95%: 00
[320] Application util under 95%: 00
[321] Application util under 95%: 00
[322] Application util under 95%: 00
[323] Application util under 95%: 00
[324] Application util under 95%: 00
[325] Application util under 95%: 00
[326] Application util under 95%: 00
[327] Application util under 95%: 00
[328] Application util under 95%: 00
[329] Application util under 95%: 00
[330] Application util under 95%: 00
[331] Application util under 95%: 00
[332] Application util under 95%: 00
[333] Application util under 95%: 00
[334] Application util under 95%: 00
[335] Application util under 95%: 00
[336] Application util under 95%: 00
[337] Application util under 95%: 00
[338] Application util under 95%: 00
[339] Application util under 95%: 00
[340] Application util under 95%: 00
[341] Application util under 95%: 00
[342] Application util under 95%: 00
[343] Application util under 95%: 00
[344] Application util under 95%: 00
[345] Application util under 95%: 00
[346] Application util under 95%: 00
[347] Application util under 95%: 00
[348] Application util under 95%: 00
[349] Application util under 95%: 00
[350] Application util under 95%: 00
[351] Application util under 95%: 00
[352] Application util under 95%: 00
[353] Application util under 95%: 00
[354] Application util under 95%: 00
[355] Application util under 95%: 00
[356] Application util under 95%: 00
[357] Application util under 95%: 00
[358] Application util under 95%: 00
[359] Application util under 95%: 00
[360] Application util under 95%: 00
[361] Application util under 95%: 00
[362] Application util under 95%: 00
[363] Application util under 95%: 00
[364] Application util under 95%: 00
[365] Application util under 95%: 00
[366] Application util under 95%: 00
[367] Application util under 95%: 00
[368] Application util under 95%: 00
[369] Application util under 95%: 00
[370] Application util under 95%: 00
[371] Application util under 95%: 00
[372] Application util under 95%: 00
[373] Application util under 95%: 00
[374] Application util under 95%: 00
[375] Application util under 95%: 00
[376] Application util under 95%: 00
[377] Application util under 95%: 00
[378] Application util under 95%: 00
[379] Application util under 95%: 00
[380] Application util under 95%: 00
[381] Application util under 95%: 00
[382] Application util under 95%: 00
[383] Application util under 95%: 00
[384] Application util under 95%: 00
[385] Application util under 95%: 00
[386] Application util under 95%: 00
[387] Application util under 95%: 00
[388] Application util under 95%: 00
[389] Application util under 95%: 00
[390] Application util under 95%: 00
[391] Application util under 95%: 00
[392] Application util under 95%: 00
[393] Application util under 95%: 00
[394] Application util under 95%: 00
[395] Application util under 95%: 00
[396] Application util under 95%: 00
[397] Application util under 95%: 00
[398] Application util under 95%: 00
[399] Application util under 95%: 00
[400] Application util under 95%: 00
[401] Application util under 95%: 00
[402] Application util under 95%: 00
[403] Application util under 95%: 00
[404] Application util under 95%: 00
[405] Application util under 95%: 00
[406] Application util under 95%: 00
[407] Application util under 95%: 00
[408] Application util under 95%: 00
[409] Application util under 95%: 00
[410] Application util under 95%: 00
[411] Application util under 95%: 00
[412] Application util under 95%: 00
[413] Application util under 95%: 00
[414] Application util under 95%: 00
[415] Application util under 95%: 00
[416] Application util under 95%: 00
[417] Application util under 95%: 00
[418] Application util under 95%: 00
[419] Application util under 95%: 00
[420] Application util under 95%: 00
[421] Application util under 95%: 00
[422] Application util under 95%: 00
[423] Application util under 95%: 00
[424] Application util under 95%: 00
[425] Application util under 95%: 00
[426] Application util under 95%: 00
[427] Application util under 95%: 00
[428] Application util under 95%: 00
[429] Application util under 95%: 00
[430] Application util under 95%: 00
[431] Application util under 95%: 00
[432] Application util under 95%: 00
[433] Application util under 95%: 00
[434] Application util under 95%: 00
[435] Application util under 95%: 00
[436] Application util under 95%: 00
[437] Application util under 95%: 00
[438] Application util under 95%: 00
[439] Application util under 95%: 00
